,Unnamed: 0,Title,Summary,Published On,news,cleanNews
104,104,Mnuchin says Trump's economic plan is working and 'we're not going back to socialism',Treasury Secretary Steven Mnuchin spoke with CNBC&#039;s &quot;Squawk Box&quot; Wednesday morning.,2019-02-06 13:10:00Z,Mnuchin says Trump's economic plan is working and 'we're not going back to socialism' Treasury Secretary Steven spoke with CNBC&#039;s &quot;Squawk Box&quot; Wednesday morning.,mnuchin says trump economic plan working going back socialism treasury secretary steven spoke cnbc 039 quot squawk box quot wednesday morning
105,105,Mnuchin says Fed Chief Powell gave Trump an overview of the economy at White House dinner,Treasury Secretary Steven Mnuchin spoke to CNBC&#039;s &quot;Squawk Box&quot; on Wednesday.,2019-02-06 13:19:00Z,Mnuchin says Fed Chief Powell gave Trump an overview of the economy at White House dinner Treasury Secretary Steven spoke to CNBC&#039;s &quot;Squawk Box&quot; on Wednesday.,mnuchin says fed chief powell gave trump overview economy white house dinner treasury secretary steven spoke cnbc 039 quot squawk box quot wednesday
106,106,US trade deficit narrows much more than expected in a win for Trump,"The gap had closed in November to $49.3 billion from $55.7 billion in October, representing an 11.5 percent decline.",2019-02-06 13:59:00Z,"US trade deficit narrows much more than expected in a win for Trump The gap had closed November to $49.3 billion from $55.7 October, representing an 11.5 percent decline.",us trade deficit narrows much expected win trump gap closed november 493 billion 557 october representing 115 percent decline
107,107,"Your first trade for Wednesday, February 6",The &quot;Fast Money&quot; traders share their first moves for the market open.,2019-02-06 14:23:00Z,"Your first trade for Wednesday, February 6 The &quot;Fast Money&quot; traders share their moves the market open.",first trade wednesday february 6 quot fast money quot traders share moves market open
108,108,"US oil heads to China, but it's too early to declare victory in the trade war","The first U.S. oil shipments to China in months will reach their destinations just days from now, punctuating a pledge by President Donald Trump that China would buy more American products.",2019-02-06 16:28:00Z,"US oil heads to China, but it's too early declare victory in the trade war The first U.S. shipments China months will reach their destinations just days from now, punctuating a pledge by President Donald Trump that would buy more American products.",us oil heads china early declare victory trade war first us shipments china months reach destinations days punctuating pledge president donald trump would buy american products
109,109,"Stocks making the biggest moves midday: Snap, Electronic Arts, Skyworks & more",Names on the move ahead of the open.,2019-02-06 17:31:00Z,"Stocks making the biggest moves midday: Snap, Electronic Arts, Skyworks & more Names on move ahead of open.",stocks making biggest moves midday snap electronic arts skyworks names move ahead open
110,110,"Natural disasters cost $91 billion in 2018, according to federal report","Natural disasters cost the country $91 billion in 2018, according to a new report from the National Oceanic and Atmospheric Administration.",2019-02-06 17:03:00Z,"Natural disasters cost $91 billion in 2018, according to federal report the country a new from National Oceanic and Atmospheric Administration.",natural disasters cost 91 billion 2018 according federal report country new national oceanic atmospheric administration
111,111,Janet Yellen says global slowdown in places like China and Europe is a growing threat to US,The former Fed chief made the comments on CNBC&#039;s &quot;Power Lunch&quot; on Wednesday.,2019-02-06 19:36:00Z,Janet Yellen says global slowdown in places like China and Europe is a growing threat to US The former Fed chief made the comments on CNBC&#039;s &quot;Power Lunch&quot; Wednesday.,janet yellen says global slowdown places like china europe growing threat us former fed chief made comments cnbc 039 quot power lunch quot wednesday
112,112,Fed's Powell reveals what he thinks is the biggest challenge over the next decade,"Sluggish productivity and a widening wealth gap are the biggest challenges facing the U.S. over the next decade, the central bank chief said",2019-02-07 01:02:00Z,"Fed's Powell reveals what he thinks is the biggest challenge over next decade Sluggish productivity and a widening wealth gap are challenges facing U.S. decade, central bank chief said",fed powell reveals thinks biggest challenge next decade sluggish productivity widening wealth gap challenges facing us decade central bank chief said
113,113,EU cuts Germany's growth prospects with fears over global trade,"The European Commission, the EU&#039;s executive arm, revised down its growth forecasts for the country on Thursday. It&#039;s now expected to grow by 1.1 percent this year, from a previous forecast of 1.8 percent.",2019-02-07 10:48:00Z,"EU cuts Germany's growth prospects with fears over global trade The European Commission, the EU&#039;s executive arm, revised down its forecasts for country on Thursday. It&#039;s now expected to grow by 1.1 percent this year, from a previous forecast of 1.8 percent.",eu cuts germany growth prospects fears global trade european commission eu 039 executive arm revised forecasts country thursday 039 expected grow 11 percent year previous forecast 18 percent
114,114,"Chinese consumer is the 'single most important thing' in the world economy, Jim O'Neill says",The former Goldman chair said Beijing needs to act fast to get households to spend.,2019-02-07 11:31:00Z,"Chinese consumer is the 'single most important thing' in world economy, Jim O'Neill says The former Goldman chair said Beijing needs to act fast get households spend.",chinese consumer single important thing world economy jim oneill says former goldman chair said beijing needs act fast get households spend
115,115,US weekly jobless claims fall from a one-and-a-half-year high,"First-time claims for state unemployment benefits were expected to total 221,000 in the most recent week, down from the 253,000 claims reported for the previous week.",2019-02-07 13:30:00Z,"US weekly jobless claims fall from a one-and-a-half-year high First-time for state unemployment benefits were expected to total 221,000 in the most recent week, down 253,000 reported previous week.",us weekly jobless claims fall one-and-a-half-year high first-time state unemployment benefits expected total 221000 recent week 253000 reported previous week
116,116,"Your first trade for Thursday, February 7",The &quot;Fast Money&quot; traders share their first moves for the market open.,2019-02-07 14:19:00Z,"Your first trade for Thursday, February 7 The &quot;Fast Money&quot; traders share their moves the market open.",first trade thursday february 7 quot fast money quot traders share moves market open
117,117,Trump is 'highly unlikely' to meet Chinese President Xi before March trade deadline,"Trump and Xi are still expected to meet, but there&#039;s too much work to do to prepare Trump for a high-stakes meeting with North Korea&#039;s Kim Jong Un.",2019-02-07 16:29:00Z,"Trump is 'highly unlikely' to meet Chinese President Xi before March trade deadline and are still expected meet, but there&#039;s too much work do prepare for a high-stakes meeting with North Korea&#039;s Kim Jong Un.",trump highly unlikely meet chinese president xi march trade deadline still expected meet 039 much work prepare high-stakes meeting north korea 039 kim jong un
118,118,There's one big reason behind the biggest bank merger in a decade: Technology,"Banks like SunTrust and BB&amp;T are looking to compete with the top banks on technology spending, while facing pressure from fintech.",2019-02-07 18:10:00Z,"There's one big reason behind the biggest bank merger in a decade: Technology Banks like SunTrust and BB&amp;T are looking to compete with top banks on technology spending, while facing pressure from fintech.",one big reason behind biggest bank merger decade technology banks like suntrust bb amp looking compete top banks technology spending facing pressure fintech
119,119,Americans are starting to feel better about buying homes � sort of,"The share of Americans who say it is a good time to buy a home increased four percentage points to 15 percent in January compared with December, according to a monthly survey from Fannie Mae.",2019-02-07 18:07:00Z,"Americans are starting to feel better about buying homes � sort of The share who say it is a good time buy home increased four percentage points 15 percent in January compared with December, according monthly survey from Fannie Mae.",americans starting feel better buying homes  sort share say good time buy home increased four percentage points 15 percent january compared december according monthly survey fannie mae
120,120,Ocasio-Cortez's Green New Deal offers 'economic security' for those 'unwilling to work',The Green New Deal looks to create a more environmentally sound country with economic benefits for everyone � even those who don&#039;t want to work.,2019-02-07 20:59:00Z,Ocasio-Cortez's Green New Deal offers 'economic security' for those 'unwilling to work' The looks create a more environmentally sound country with economic benefits everyone � even who don&#039;t want work.,ocasio-cortez green new deal offers economic security unwilling work looks create environmentally sound country economic benefits everyone  even 039 want work
121,121,Fed's Bullard: 'Restrictive' US policy is likely curbing inflation,"Fed&#039;s interest rate increase in December likely tipped monetary policy into a restrictive setting that may be pushing the economy farther from one of the Fed&#039;s key goals, James Bullard, president of the St. Louis Federal Reserve Bank, said.",2019-02-08 11:12:00Z,"Fed's Bullard: 'Restrictive' US policy is likely curbing inflation Fed&#039;s interest rate increase in December tipped monetary into a restrictive setting that may be pushing the economy farther from one of key goals, James Bullard, president St. Louis Federal Reserve Bank, said.",fed bullard restrictive us policy likely curbing inflation fed 039 interest rate increase december tipped monetary restrictive setting may pushing economy farther one key goals james bullard president st louis federal reserve bank said
122,122,"Stocks making the biggest moves premarket: Hasbro, Coty, Expedia, Verizon & more",Names on the move ahead of the open.,2019-02-08 12:48:00Z,"Stocks making the biggest moves premarket: Hasbro, Coty, Expedia, Verizon & more Names on move ahead of open.",stocks making biggest moves premarket hasbro coty expedia verizon names move ahead open
123,123,"Your first trade for Friday, February 8",The &quot;Fast Money&quot; traders share their first moves for the market open.,2019-02-08 14:42:00Z,"Your first trade for Friday, February 8 The &quot;Fast Money&quot; traders share their moves the market open.",first trade friday february 8 quot fast money quot traders share moves market open
124,124,"After going up for six straight weeks, the stock market comeback is on hold � here's why",The Dow Jones Industrial Average is headed for its first negative week of 2019 and there a few key reasons why the stock market&#039;s recent rally has slowed.,2019-02-08 17:24:00Z,"After going up for six straight weeks, the stock market comeback is on hold � here's why The Dow Jones Industrial Average headed its first negative week of 2019 and there a few key reasons market&#039;s recent rally has slowed.",going six straight weeks stock market comeback hold  dow jones industrial average headed first negative week 2019 key reasons market 039 recent rally slowed
125,125,"Firm owned by Trump's longtime bodyguard Keith Schiller has received $225,000 from the RNC","Schiller was hired by the RNC to help select a site for the 2020 convention. But once Charlotte, North Carolina, was announced in July, Schiller&#039;s firm was kept on to &quot;work on other security needs for the committee,&quot; a party official told CNBC.",2019-02-08 18:19:00Z,"Firm owned by Trump's longtime bodyguard Keith Schiller has received $225,000 from the RNC was hired to help select a site for 2020 convention. But once Charlotte, North Carolina, announced in July, Schiller&#039;s firm kept on &quot;work other security needs committee,&quot; party official told CNBC.",firm owned trump longtime bodyguard keith schiller received 225000 rnc hired help select site 2020 convention charlotte north carolina announced july schiller 039 firm kept quot work security needs committee quot party official told cnbc
126,126,The fate of the market this year could be in the hands of the 'Powell Put',"In a Fed connotation, a put would be a point at which Powell would not let the market fall below before he steps in with more stimulus.",2019-02-08 18:38:00Z,"The fate of the market this year could be in hands 'Powell Put' In a Fed connotation, put would point at which Powell not let fall below before he steps with more stimulus.",fate market year could hands powell put fed connotation put would point powell let fall steps stimulus
127,127,Trump's disruptive foreign policy will be tested in four major ways this month,"February brings the most significant series of tests yet of whether President Trump can transform his disruptive U.S. foreign policy into concrete outcomes, writes Fred Kempe of the Atlantic Council.",2019-02-09 12:00:00Z,"Trump's disruptive foreign policy will be tested in four major ways this month February brings the most significant series of tests yet whether President Trump can transform his U.S. into concrete outcomes, writes Fred Kempe Atlantic Council.",trump disruptive foreign policy tested four major ways month february brings significant series tests yet whether president trump transform us concrete outcomes writes fred kempe atlantic council
128,128,"'This is the fight of our lives,' Elizabeth Warren says as she formally launches her 2020 presidential bid","Warren has long been considered a top contender among Democrats in 2020, and Saturday&#039;s announcement marked the final step in a process that had been underway for months.",2019-02-09 17:08:00Z,"'This is the fight of our lives,' Elizabeth Warren says as she formally launches her 2020 presidential bid has long been considered a top contender among Democrats in 2020, and Saturday&#039;s announcement marked final step process that had underway for months.",fight lives elizabeth warren says formally launches 2020 presidential bid long considered top contender among democrats 2020 saturday 039 announcement marked final step process underway months
129,129,"The housing market is facing risks this year, but here's why it's not all bad news for buyers","With spring on the way, many home buyers are starting their hunt for a new home.",2019-02-10 14:12:00Z,"The housing market is facing risks this year, but here's why it's not all bad news for buyers With spring on the way, many home are starting their hunt a new home.",housing market facing risks year bad news buyers spring way many home starting hunt new home
130,130,Here's why Wells Fargo has sliced its forecasts for rate hikes and bond yields,"As bond yields fall on global growth fears, Wells Fargo is making some changes.",2019-02-10 22:00:00Z,"Here's why Wells Fargo has sliced its forecasts for rate hikes and bond yields As fall on global growth fears, is making some changes.",wells fargo sliced forecasts rate hikes bond yields fall global growth fears making changes
131,131,"Emerging markets set for a 'rally' after last year's rout, says strategist","With the Federal Reserve pledging to be &quot;patient&quot; in future rate hikes, emerging markets could enjoy a turnaround this year, said Mary Nicola, a strategist at Eastspring Investments.",2019-02-11 04:59:00Z,"Emerging markets set for a 'rally' after last year's rout, says strategist With the Federal Reserve pledging to be &quot;patient&quot; in future rate hikes, emerging could enjoy turnaround this year, said Mary Nicola, at Eastspring Investments.",emerging markets set rally last year rout says strategist federal reserve pledging quot patient quot future rate hikes emerging could enjoy turnaround year said mary nicola eastspring investments
132,132,"Krugman expects to see a global recession this year, warns 'we don't have an effective response'","There is a decent chance the world economy is headed for a recession in 2019, according to Nobel Prize-winning economist Paul Krugman.",2019-02-11 09:23:00Z,"Krugman expects to see a global recession this year, warns 'we don't have an effective response' There is decent chance the world economy headed for in 2019, according Nobel Prize-winning economist Paul Krugman.",krugman expects see global recession year warns nt effective response decent chance world economy headed 2019 according nobel prize-winning economist paul krugman
133,133,"Struggling Nvidia shares 'likely to remain hamstrung,' Bernstein says in downgrade",Bernstein downgraded semiconductor stock Nvidia on Monday to market-perform from outperform.,2019-02-11 12:22:00Z,"Struggling Nvidia shares 'likely to remain hamstrung,' Bernstein says in downgrade downgraded semiconductor stock on Monday market-perform from outperform.",struggling nvidia shares likely remain hamstrung bernstein says downgrade downgraded semiconductor stock monday market-perform outperform
134,134,Growing economic anxiety hits Main Street as small-business confidence declines: Survey,"Small-business confidence declined in the Q1, according to a new CNBC/SurveyMonkey survey. After reaching an all-time high in the Q3r 2018, entrepreneurs across the U.S. have grown more concerned about business conditions, revenue and hiring.",2019-02-11 13:30:00Z,"Growing economic anxiety hits Main Street as small-business confidence declines: Survey Small-business declined in the Q1, according to a new CNBC/SurveyMonkey survey. After reaching an all-time high Q3r 2018, entrepreneurs across U.S. have grown more concerned about business conditions, revenue and hiring.",growing economic anxiety hits main street small-business confidence declines survey small-business declined q1 according new cnbcsurveymonkey survey reaching all-time high q3r 2018 entrepreneurs across us grown concerned business conditions revenue hiring
135,135,A giant coalition of companies including Amazon and Apple urges Congress to save 'Dreamer' immigrants,More than 100 major companies including Apple and Amazon are renewing their push for immigration reform as another government shutdown looms.,2019-02-11 13:49:00Z,A giant coalition of companies including Amazon and Apple urges Congress to save 'Dreamer' immigrants More than 100 major are renewing their push for immigration reform as another government shutdown looms.,giant coalition companies including amazon apple urges congress save dreamer immigrants 100 major renewing push immigration reform another government shutdown looms
136,136,'We're not in a good place': Democrats and GOP can't agree about how to stop another shutdown,"Efforts to avoid another shutdown may fail, a Democratic aide told CNBC on Sunday.",2019-02-11 14:15:00Z,"'We're not in a good place': Democrats and GOP can't agree about how to stop another shutdown Efforts avoid may fail, Democratic aide told CNBC on Sunday.",good place democrats gop ca nt agree stop another shutdown efforts avoid may fail democratic aide told cnbc sunday
137,137,A majority of small-business owners think a recession is coming: Survey,"A majority of small-business owners expect a recession within a year, according to the CNBC/SurveyMonkey Small Business Survey. Main Street sentiment is not dire, but it has declined from a peak that matched the stock market high in Q3 2018.",2019-02-11 14:30:00Z,"A majority of small-business owners think a recession is coming: Survey expect within year, according to the CNBC/SurveyMonkey Small Business Survey. Main Street sentiment not dire, but it has declined from peak that matched stock market high in Q3 2018.",majority small-business owners think recession coming survey expect within year according cnbcsurveymonkey small business survey main street sentiment dire declined peak matched stock market high q3 2018
138,138,A reality check on how small businesses were really affected by the government shutdown: Survey,A new CNBC/SurveyMonkey Small Business survey reveals how much the small-business sector suffered in the federal government shutdown. There is threat of another shutdown as Capitol Hill tries to reach a deal on border security by end of day Friday.,2019-02-11 15:29:00Z,A reality check on how small businesses were really affected by the government shutdown: Survey new CNBC/SurveyMonkey Small Business survey reveals much small-business sector suffered in federal shutdown. There is threat of another shutdown as Capitol Hill tries to reach a deal border security end day Friday.,reality check small businesses really affected government shutdown survey new cnbcsurveymonkey small business survey reveals much small-business sector suffered federal shutdown threat another shutdown capitol hill tries reach deal border security end day friday
139,139,"Stocks making the biggest moves midday: Avis Budget Group, Pfizer, Tesla & more",Names on the move ahead of the open.,2019-02-11 17:07:00Z,"Stocks making the biggest moves midday: Avis Budget Group, Pfizer, Tesla & more Names on move ahead of open.",stocks making biggest moves midday avis budget group pfizer tesla names move ahead open
140,140,Vanguard dramatically cuts its expected rate of return for the stock market over the next decade,"The stock market won&#039;t keep returning the kinds of yearly gains investors have gotten used to since the financial crisis bottom in 2009, according to Vanguard CIO Greg Davis.",2019-02-11 18:15:00Z,"Vanguard dramatically cuts its expected rate of return for the stock market over next decade The won&#039;t keep returning kinds yearly gains investors have gotten used to since financial crisis bottom in 2009, according CIO Greg Davis.",vanguard dramatically cuts expected rate return stock market next decade 039 keep returning kinds yearly gains investors gotten used since financial crisis bottom 2009 according cio greg davis
141,141,Paul Tudor Jones says 'mania' in share buybacks threatens to have 'social consequences',Jones is noted for making broad market calls and predicted the 1987 stock market crash.,2019-02-11 20:22:00Z,Paul Tudor Jones says 'mania' in share buybacks threatens to have 'social consequences' is noted for making broad market calls and predicted the 1987 stock crash.,paul tudor jones says mania share buybacks threatens social consequences noted making broad market calls predicted 1987 stock crash
142,142,Markets shouldn't overreact even if there's no US-China trade deal,"The German trade surplus is stifling the economic growth in the rest of Europe, Michael Ivanovitch writes.",2019-02-12 00:48:00Z,"Markets shouldn't overreact even if there's no US-China trade deal The German surplus is stifling the economic growth in rest of Europe, Michael Ivanovitch writes.",markets nt overreact even us-china trade deal german surplus stifling economic growth rest europe michael ivanovitch writes
143,143,Republican Sen Marco Rubio backs new proposal to tackle stock buybacks,"Sen. Marco Rubio is the chairman of the Small Business Committee, which is releasing a report on the issue. It argues more equal rates would remove companies&#039; incentives to buy back stock in the first place.",2019-02-12 11:30:00Z,"Republican Sen Marco Rubio backs new proposal to tackle stock buybacks Sen. is the chairman of Small Business Committee, which releasing a report on issue. It argues more equal rates would remove companies&#039; incentives buy back in first place.",republican sen marco rubio backs new proposal tackle stock buybacks sen chairman small business committee releasing report issue argues equal rates would remove companies 039 incentives buy back first place
144,144,"Foot Locker gains digital expertise with $100 million investment in Goat Group, start-up CEO says","The leading sportswear retailer and secondary market will combine retail and digital expertise to bring &quot;a lot of synergies&quot; to the sneaker industry, Goat CEO Eddy Lu says.",2019-02-12 13:01:00Z,"Foot Locker gains digital expertise with $100 million investment in Goat Group, start-up CEO says The leading sportswear retailer and secondary market will combine retail to bring &quot;a lot of synergies&quot; the sneaker industry, Eddy Lu says.",foot locker gains digital expertise 100 million investment goat group start-up ceo says leading sportswear retailer secondary market combine retail bring quot lot synergies quot sneaker industry eddy lu says
145,145,"'Maximum uncertainty' will turn into big buying opportunity, Wall Street bull predicts","If a near-term pullback strikes stocks, BTIG&#039;s Julian Emanuel says buy it.",2019-02-12 13:05:00Z,"'Maximum uncertainty' will turn into big buying opportunity, Wall Street bull predicts If a near-term pullback strikes stocks, BTIG&#039;s Julian Emanuel says buy it.",maximum uncertainty turn big buying opportunity wall street bull predicts near-term pullback strikes stocks btig 039 julian emanuel says buy
146,146,"Your first trade for Tuesday, February 12",The &quot;Fast Money&quot; traders share their first moves for the market open.,2019-02-12 14:23:00Z,"Your first trade for Tuesday, February 12 The &quot;Fast Money&quot; traders share their moves the market open.",first trade tuesday february 12 quot fast money quot traders share moves market open
147,147,Here's a blueprint for investors trading the different China-US trade war outcomes,Citigroup details three scenarios that investors may have to grapple with depending on how the trade talks progress this month.,2019-02-12 15:39:00Z,Here's a blueprint for investors trading the different China-US trade war outcomes Citigroup details three scenarios that may have to grapple with depending on how talks progress this month.,blueprint investors trading different china-us trade war outcomes citigroup details three scenarios may grapple depending talks progress month
148,148,Paul Volcker is worried that the US is losing its status as 'top dog' in the world,"&quot;Who is going to appreciate the United States as a leader, because we can&#039;t seem to manage our own affairs at home?&quot; Volcker told Ray Dalio.",2019-02-12 17:16:00Z,"Paul Volcker is worried that the US losing its status as 'top dog' in world &quot;Who going to appreciate United States a leader, because we can&#039;t seem manage our own affairs at home?&quot; told Ray Dalio.",paul volcker worried us losing status top dog world quot going appreciate united states leader 039 seem manage affairs home quot told ray dalio
149,149,"Stocks making the biggest moves midday: Caterpillar, Under Armour, Molson Coors Brewing & more",Names on the move ahead of the open.,2019-02-12 17:05:00Z,"Stocks making the biggest moves midday: Caterpillar, Under Armour, Molson Coors Brewing & more Names on move ahead of open.",stocks making biggest moves midday caterpillar armour molson coors brewing names move ahead open
150,150,Alexandria Ocasio-Cortez's Green New Deal is the latest villain in Trump's 2020 stump speech,"President Donald Trump claimed the Democratic plan was one &quot;of taking away your car, of taking away your airplane rights, of &#039;let&#039;s hop a train to California,&#039; of you&#039;re not allowed to own cows anymore.&quot;",2019-02-12 16:52:00Z,"Alexandria Ocasio-Cortez's Green New Deal is the latest villain in Trump's 2020 stump speech President Donald Trump claimed Democratic plan was one &quot;of taking away your car, of airplane rights, &#039;let&#039;s hop a train to California,&#039; you&#039;re not allowed own cows anymore.&quot;",alexandria ocasio-cortez green new deal latest villain trump 2020 stump speech president donald trump claimed democratic plan one quot taking away car airplane rights 039 let 039 hop train california 039 039 allowed cows anymore quot
151,151,Fed's Powell puts focus on spreading benefits of a strong economy,"Powell said the central bank is looking at a number of ways to help rural communities, with a particular focus on banking and finance for areas of need.",2019-02-12 18:32:00Z,"Fed's Powell puts focus on spreading benefits of a strong economy said the central bank is looking at number ways to help rural communities, with particular banking and finance for areas need.",fed powell puts focus spreading benefits strong economy said central bank looking number ways help rural communities particular banking finance areas need
152,152,IBM's Ginni Rometty says she sees no change in CEO confidence since Powell's last fed speech,"CEO sentiment has been balanced &quot;between growth and efficiency initiatives&quot; since the Federal Reserve said it would be patient, IBM CEO Ginni Rometty says.",2019-02-12 18:40:00Z,"IBM's Ginni Rometty says she sees no change in CEO confidence since Powell's last fed speech sentiment has been balanced &quot;between growth and efficiency initiatives&quot; the Federal Reserve said it would be patient, IBM says.",ibm ginni rometty says sees change ceo confidence since powell last fed speech sentiment balanced quot growth efficiency initiatives quot federal reserve said would patient ibm says
153,153,A record number of Americans are 90 days behind on their car payments,The level of serious delinquencies broke past the heights reached just after the financial crisis.,2019-02-12 21:15:00Z,A record number of Americans are 90 days behind on their car payments The level serious delinquencies broke past the heights reached just after financial crisis.,record number americans 90 days behind car payments level serious delinquencies broke past heights reached financial crisis
154,154,"The US trade deficit with China 'will reverse' in the long term, Alibaba co-founder says","China&#039;s trade surplus with the U.S. will shrink once China starts buying $40 trillion worth of goods and services, Alibaba co-founder Joseph Tsai says.",2019-02-13 00:01:00Z,"The US trade deficit with China 'will reverse' in the long term, Alibaba co-founder says China&#039;s surplus U.S. will shrink once starts buying $40 trillion worth of goods and services, Joseph Tsai says.",us trade deficit china reverse long term alibaba co-founder says china 039 surplus us shrink starts buying 40 trillion worth goods services joseph tsai says
155,155,"China is going to need more foreign money as its trade surplus dries up, Morgan Stanley says","China will likely run a current account deficit this year, marking its first since 1993, and setting the country on a path to becoming more reliant on foreign capital, according to a Morgan Stanley report.",2019-02-13 06:47:00Z,"China is going to need more foreign money as its trade surplus dries up, Morgan Stanley says will likely run a current account deficit this year, marking first since 1993, and setting the country on path becoming reliant capital, according report.",china going need foreign money trade surplus dries morgan stanley says likely run current account deficit year marking first since 1993 setting country path becoming reliant capital according report
156,156,"Stocks making the biggest moves premarket: Hilton Worldwide, Dish Network, Deere, GM & more",Names on the move ahead of the open.,2019-02-13 12:43:00Z,"Stocks making the biggest moves premarket: Hilton Worldwide, Dish Network, Deere, GM & more Names on move ahead of open.",stocks making biggest moves premarket hilton worldwide dish network deere gm names move ahead open
157,157,'Scary over the next couple of months' � boutique investing chief says 2019 rally won't last,"Leuthold Group&#039;s Doug Ramsey lays out a series of worst case scenarios for stocks, including a &quot;broad and deep revaluation&quot; during the next recession.",2019-02-13 13:50:00Z,"'Scary over the next couple of months' � boutique investing chief says 2019 rally won't last Leuthold Group&#039;s Doug Ramsey lays out a series worst case scenarios for stocks, including &quot;broad and deep revaluation&quot; during recession.",scary next couple months  boutique investing chief says 2019 rally wo nt last leuthold group 039 doug ramsey lays series worst case scenarios stocks including quot broad deep revaluation quot recession
158,158,Apple and IBM CEOs join Trump's advisory board to make sure AI doesn't kill jobs,Apple CEO Tim Cook and IBM Ginni Rometty were among 25 members appointed to Trump&#039;s American Workforce Policy Advisory Board.,2019-02-13 16:15:00Z,Apple and IBM CEOs join Trump's advisory board to make sure AI doesn't kill jobs CEO Tim Cook Ginni Rometty were among 25 members appointed Trump&#039;s American Workforce Policy Advisory Board.,apple ibm ceos join trump advisory board make sure ai nt kill jobs ceo tim cook ginni rometty among 25 members appointed trump 039 american workforce policy advisory board
159,159,Richard Branson: World's wealthiest 'deserve heavy taxes' if they fail to make capitalism more inclusive,Billionaires at elite investor and &quot;thought-leader&quot; summits like the Milken Summit and Switzerland&#039;s Davos are divided on how to respond to the rising populism triggered by wealth inequality.,2019-02-13 15:21:00Z,Richard Branson: World's wealthiest 'deserve heavy taxes' if they fail to make capitalism more inclusive Billionaires at elite investor and &quot;thought-leader&quot; summits like the Milken Summit Switzerland&#039;s Davos are divided on how respond rising populism triggered by wealth inequality.,richard branson world wealthiest deserve heavy taxes fail make capitalism inclusive billionaires elite investor quot thought-leader quot summits like milken summit switzerland 039 davos divided respond rising populism triggered wealth inequality
160,160,The stock market believes Netflix will more than double subscribers in 10 years to 335 million,"Netflix is only beginning to grow, if the stock market&#039;s expectations are to be believed.",2019-02-13 17:07:00Z,"The stock market believes Netflix will more than double subscribers in 10 years to 335 million is only beginning grow, if the market&#039;s expectations are be believed.",stock market believes netflix double subscribers 10 years 335 million beginning grow market 039 expectations believed
161,161,"Stocks making the biggest moves midday: Teva Pharmaceuticals, Hilton, Groupon & more",Names on the move ahead of the open.,2019-02-13 17:06:00Z,"Stocks making the biggest moves midday: Teva Pharmaceuticals, Hilton, Groupon & more Names on move ahead of open.",stocks making biggest moves midday teva pharmaceuticals hilton groupon names move ahead open
162,162,"Worker wage gains are keeping up with inflation, and then some",Labor Department numbers released Wednesday show that real average hourly earnings rose 1.7 percent in January.,2019-02-13 19:49:00Z,"Worker wage gains are keeping up with inflation, and then some Labor Department numbers released Wednesday show that real average hourly earnings rose 1.7 percent in January.",worker wage gains keeping inflation labor department numbers released wednesday show real average hourly earnings rose 17 percent january
163,163,A lot of 'negative surprises' will hit markets in coming months: Hedge-fund veteran Mark Yusko,"&quot;There are lots of cheap places to put your capital. You don&#039;t have to put it in the U.S.,&quot; Morgan Creek&#039;s Mark Yusko says.",2019-02-13 21:46:00Z,"A lot of 'negative surprises' will hit markets in coming months: Hedge-fund veteran Mark Yusko &quot;There are lots cheap places to put your capital. You don&#039;t have it the U.S.,&quot; Morgan Creek&#039;s says.",lot negative surprises hit markets coming months hedge-fund veteran mark yusko quot lots cheap places put capital 039 us quot morgan creek 039 says
164,164,"Tesla is not 'quite out of the woods yet,' says Morgan Stanley's Adam Jonas",Morgan Stanley&#039;s Adam Jonas says Tesla&#039;s biggest question is whether it can self-finance &quot;where it doesn&#039;t need external equity capital to fund its very ambitious plans.&quot;,2019-02-14 00:11:00Z,"Tesla is not 'quite out of the woods yet,' says Morgan Stanley's Adam Jonas Stanley&#039;s Tesla&#039;s biggest question whether it can self-finance &quot;where doesn&#039;t need external equity capital to fund its very ambitious plans.&quot;",tesla quite woods yet says morgan stanley adam jonas stanley 039 tesla 039 biggest question whether self-finance quot 039 need external equity capital fund ambitious plans quot
165,165,Climate disasters cost $650 billion over 3 years � Americans are bearing the brunt: Morgan Stanley,"Morgan Stanley says companies need to consider preparing for a world gripped by more intense weather events, rising seas and other impacts.",2019-02-14 11:27:00Z,"Climate disasters cost $650 billion over 3 years � Americans are bearing the brunt: Morgan Stanley says companies need to consider preparing for a world gripped by more intense weather events, rising seas and other impacts.",climate disasters cost 650 billion 3 years  americans bearing brunt morgan stanley says companies need consider preparing world gripped intense weather events rising seas impacts
166,166,"Fed may use rebound as motive to revive rate hikes, market researcher James Bianco warns","&quot;The stock market is rallying basically for one reason: The Fed backed off,&quot; Bianco Research&#039;s James Bianco says.",2019-02-14 13:30:00Z,"Fed may use rebound as motive to revive rate hikes, market researcher James Bianco warns &quot;The stock is rallying basically for one reason: The backed off,&quot; Research&#039;s says.",fed may use rebound motive revive rate hikes market researcher james bianco warns quot stock rallying basically one reason backed quot research 039 says
167,167,"Stocks making the biggest moves premarket: Coca-Cola, Alphabet, Canada Goose & more",Names on the move ahead of the open.,2019-02-14 12:57:00Z,"Stocks making the biggest moves premarket: Coca-Cola, Alphabet, Canada Goose & more Names on move ahead of open.",stocks making biggest moves premarket coca-cola alphabet canada goose names move ahead open
